id_ENSEMBL;gene_recommended_name;tax_id
ENSG00000124813;RUNX2;9606
ENSG00000159216;LOC100506403;9606
ENSG00000079102;RUNX1T1;9606
ENSG00000129993;CBFA2T3;9606
ENSG00000020633;RUNX3;9606
ENSG00000067955;CBFB;9606
ENSG00000170099;SERPINA6;9606
ENSG00000110395;CBL;9606
ENSG00000114423;CBLB;9606
ENSG00000102924;CBLN1;9606
ENSG00000149257;SERPINH1;9606
ENSG00000159228;CBR1;9606
ENSG00000159231;CBR3;9606
ENSG00000160200;CBS;9606
ENSG00000185972;CCIN;9606
ENSG00000171097;KYAT1;9606
ENSG00000187094;CCK;9606
ENSG00000163394;CCKAR;9606
ENSG00000110148;CCKBR;9606
ENSG00000001631;KRIT1;9606
ENSG00000145386;CCNA2;9606
ENSG00000134057;CCNB1;9606
ENSG00000112237;CCNC;9606
ENSG00000118971;CCND2;9606
ENSG00000112576;CCND3;9606
ENSG00000105173;CCNE1;9606
ENSG00000162063;CCNF;9606
ENSG00000113328;CCNG1;9606
ENSG00000138764;CCNG2;9606
ENSG00000134480;CCNH;9606
ENSG00000129315;CCNT1;9606
ENSG00000082258;CCNT2;9606
ENSG00000146731;CCT6A;9606
ENSG00000158477;CD1A;9606
ENSG00000158485;CD1B;9606
ENSG00000158481;CD1C;9606
ENSG00000158473;CD1D;9606
ENSG00000158488;CD1E;9606
ENSG00000116824;CD2;9606
ENSG00000167286;CD3D;9606
ENSG00000198851;CD3E;9606
ENSG00000160654;CD3G;9606
ENSG00000198821;CD247;9606
ENSG00000010610;CD4;9606
ENSG00000110448;CD5;9606
ENSG00000073754;CD5L;9606
ENSG00000013725;CD6;9606
ENSG00000173762;CD7;9606
ENSG00000153563;CD8A;9606
ENSG00000172116;CD8B;9606
ENSG00000010278;CD9;9606
ENSG00000170458;CD14;9606
ENSG00000177455;CD19;9606
ENSG00000156738;MS4A1;9606
ENSG00000149516;MS4A3;9606
ENSG00000012124;CD22;9606
ENSG00000139193;CD27;9606
ENSG00000178562;CD28;9606
ENSG00000121594;CD80;9606
ENSG00000114013;CD86;9606
ENSG00000120949;TNFRSF8;9606
ENSG00000106952;TNFSF8;9606
ENSG00000105383;CD33;9606
ENSG00000105492;SIGLEC6;9606
ENSG00000174059;CD34;9606
ENSG00000135218;CD36;9606
ENSG00000073060;SCARB1;9606
ENSG00000138760;SCARB2;9606
ENSG00000104894;CD37;9606
ENSG00000004468;CD38;9606
ENSG00000138185;ENTPD1;9606
ENSG00000054179;ENTPD2;9606
ENSG00000197586;ENTPD6;9606
ENSG00000168032;ENTPD3;9606
ENSG00000187097;ENTPD5;9606
ENSG00000101017;CD40;9606
ENSG00000102245;CD40LG;9606
ENSG00000026508;CD44;9606
ENSG00000196776;CD47;9606
ENSG00000117091;CD48;9606
ENSG00000143119;CD53;9606
ENSG00000116815;CD58;9606
ENSG00000085063;CD59;9606
ENSG00000135404;CD63;9606
ENSG00000129226;CD68;9606
ENSG00000110848;CD69;9606
ENSG00000125726;CD70;9606
ENSG00000137101;CD72;9606
ENSG00000019582;CD74;9606
ENSG00000105369;CD79A;9606
ENSG00000007312;CD79B;9606
ENSG00000110651;CD81;9606
ENSG00000123146;ADGRE5;9606
ENSG00000177697;CD151;9606
ENSG00000158825;CDA;9606
ENSG00000170312;CDK1;9606
ENSG00000248333;CDK11B;9606
ENSG00000198589;LRBA;9606
ENSG00000096401;CDC5L;9606
ENSG00000122545;SEPT7;9606
ENSG00000094804;CDC6;9606
ENSG00000117399;CDC20;9606
ENSG00000164045;CDC25A;9606
ENSG00000101224;CDC25B;9606
ENSG00000158402;CDC25C;9606
ENSG00000004897;CDC27;9606
ENSG00000099804;CDC34;9606
ENSG00000070831;CDC42;9606
ENSG00000039068;CDH1;9606
ENSG00000170558;CDH2;9606
ENSG00000062038;CDH3;9606
ENSG00000179242;CDH4;9606
ENSG00000179776;CDH5;9606
ENSG00000113361;CDH6;9606
ENSG00000081138;CDH7;9606
ENSG00000150394;CDH8;9606
ENSG00000113100;CDH9;9606
ENSG00000040731;CDH10;9606
ENSG00000140937;CDH11;9606
ENSG00000154162;CDH12;9606
ENSG00000140945;CDH13;9606
ENSG00000129910;CDH15;9606
ENSG00000166589;CDH16;9606
ENSG00000079112;CDH17;9606
ENSG00000145526;CDH18;9606
ENSG00000123374;CDK2;9606
ENSG00000250506;CDK3;9606
ENSG00000135446;CDK4;9606
ENSG00000164885;CDK5;9606
ENSG00000105810;CDK6;9606
ENSG00000134058;CDK7;9606
ENSG00000132964;CDK8;9606
ENSG00000136807;CDK9;9606
ENSG00000124762;CDKN1A;9606
ENSG00000111276;CDKN1B;9606
ENSG00000129757;CDKN1C;9606
ENSG00000147889;CDKN2A;9606
ENSG00000147883;CDKN2B;9606
ENSG00000123080;CDKN2C;9606
ENSG00000129355;CDKN2D;9606
ENSG00000100526;CDKN3;9606
ENSG00000129596;CDO1;9606
ENSG00000184258;CDR1;9606
ENSG00000140743;CDR2;9606
ENSG00000163624;CDS1;9606
ENSG00000204539;CDSN;9606
ENSG00000169442;CD52;9606
ENSG00000113722;CDX1;9606
ENSG00000165556;CDX2;9606
ENSG00000131264;CDX4;9606
ENSG00000153132;CLGN;9606
ENSG00000105388;CEACAM5;9606
ENSG00000245848;CEBPA;9606
ENSG00000172216;CEBPB;9606
ENSG00000221869;CEBPD;9606
ENSG00000092067;CEBPE;9606
ENSG00000153879;CEBPG;9606
ENSG00000170835;CEL;9606
ENSG00000170827;CELP;9606
ENSG00000115163;CENPA;9606
ENSG00000125817;CENPB;9606
ENSG00000145241;CENPC;9606
ENSG00000138778;CENPE;9606
ENSG00000117724;CENPF;9606
ENSG00000198848;CES1;9606
ENSG00000177143;CETN1;9606
ENSG00000147400;CETN2;9606
ENSG00000153140;CETN3;9606
ENSG00000087237;CETP;9606
ENSG00000172757;CFL1;9606
ENSG00000165410;CFL2;9606
ENSG00000109861;CTSC;9606
ENSG00000001626;CFTR;9606
ENSG00000135346;CGA;9606
ENSG00000104827;CGB3;9606
ENSG00000170956;CEACAM3;9606
ENSG00000007306;CEACAM7;9606
ENSG00000124469;CEACAM8;9606
ENSG00000105352;CEACAM4;9606
ENSG00000136457;CHAD;9606
ENSG00000136161;RCBTB2;9606
ENSG00000070748;CHAT;9606
ENSG00000180198;RCC1;9606
